model,scope,delta,expected_mean,pred_mean,pred_abs_mean,ire_mae,ire_rmse,response_ratio,response_slope,response_corr,sign_accuracy_on_nonzero_true
AR_Y_last,full,-5.0,-5.0003844401102,0.0,0.0,5.0003844401102,5.000384440110203,-0.0,0.0,nan,0.0
AR_Y_last,full,-4.0,-4.000307552088161,0.0,0.0,4.000307552088161,4.000307552088161,-0.0,0.0,nan,0.0
AR_Y_last,full,-3.0,-3.0002306640661223,0.0,0.0,3.0002306640661223,3.000230664066121,-0.0,0.0,nan,0.0
AR_Y_last,full,-2.0,-2.0001537760440806,0.0,0.0,2.0001537760440806,2.0001537760440806,-0.0,0.0,nan,0.0
AR_Y_last,full,-1.0,-1.0000768880220403,0.0,0.0,1.0000768880220403,1.0000768880220403,-0.0,0.0,nan,0.0
AR_Y_last,full,-0.5,-0.5000384440110202,0.0,0.0,0.5000384440110202,0.5000384440110202,-0.0,0.0,nan,0.0
AR_Y_last,full,0.5,0.5000384440110202,0.0,0.0,0.5000384440110202,0.5000384440110202,0.0,0.0,nan,0.0
AR_Y_last,full,1.0,1.0000768880220403,0.0,0.0,1.0000768880220403,1.0000768880220403,0.0,0.0,nan,0.0
AR_Y_last,full,2.0,2.0001537760440806,0.0,0.0,2.0001537760440806,2.0001537760440806,0.0,0.0,nan,0.0
AR_Y_last,full,3.0,3.0002306640661223,0.0,0.0,3.0002306640661223,3.000230664066121,0.0,0.0,nan,0.0
AR_Y_last,full,4.0,4.000307552088161,0.0,0.0,4.000307552088161,4.000307552088161,0.0,0.0,nan,0.0
AR_Y_last,full,5.0,5.0003844401102,0.0,0.0,5.0003844401102,5.000384440110203,0.0,0.0,nan,0.0
AR_Y_last,small,-1.0,-1.0000768880220403,0.0,0.0,1.0000768880220403,1.0000768880220403,-0.0,0.0,nan,0.0
AR_Y_last,small,-0.5,-0.5000384440110202,0.0,0.0,0.5000384440110202,0.5000384440110202,-0.0,0.0,nan,0.0
AR_Y_last,small,-0.25,-0.2500192220055101,0.0,0.0,0.2500192220055101,0.2500192220055101,-0.0,0.0,nan,0.0
AR_Y_last,small,-0.1,-0.1000076888022041,0.0,0.0,0.1000076888022041,0.10000768880220406,-0.0,0.0,nan,0.0
AR_Y_last,small,0.1,0.1000076888022041,0.0,0.0,0.1000076888022041,0.10000768880220406,0.0,0.0,nan,0.0
AR_Y_last,small,0.25,0.2500192220055101,0.0,0.0,0.2500192220055101,0.2500192220055101,0.0,0.0,nan,0.0
AR_Y_last,small,0.5,0.5000384440110202,0.0,0.0,0.5000384440110202,0.5000384440110202,0.0,0.0,nan,0.0
AR_Y_last,small,1.0,1.0000768880220403,0.0,0.0,1.0000768880220403,1.0000768880220403,0.0,0.0,nan,0.0
ARX_C_last,full,-5.0,-5.0003844401102,-4.997996382573827,4.997996382573827,0.0023880575363762675,0.0023880575363762675,0.9995224252125062,0.9995224252125056,nan,1.0
ARX_C_last,full,-4.0,-4.000307552088161,-3.998397106059061,3.998397106059061,0.0019104460291008488,0.0019104460291008488,0.9995224252125057,0.9995224252125061,nan,1.0
ARX_C_last,full,-3.0,-3.0002306640661223,-2.998797829544295,2.998797829544295,0.0014328345218253711,0.0014328345218253711,0.9995224252125051,0.9995224252125061,nan,1.0
ARX_C_last,full,-2.0,-2.0001537760440806,-1.9991985530295304,1.9991985530295304,0.0009552230145504147,0.0009552230145504147,0.9995224252125057,0.9995224252125061,nan,1.0
ARX_C_last,full,-1.0,-1.0000768880220403,-0.9995992765147652,0.9995992765147652,0.0004776115072752032,0.0004776115072752032,0.9995224252125057,0.9995224252125061,nan,1.0
ARX_C_last,full,-0.5,-0.5000384440110202,-0.4997996382573826,0.4997996382573826,0.00023880575363760407,0.00023880575363760404,0.9995224252125057,0.9995224252125061,nan,1.0
ARX_C_last,full,0.5,0.5000384440110202,0.4997996382573826,0.4997996382573826,0.0002388057536376051,0.0002388057536376051,0.9995224252125057,0.9995224252125061,nan,1.0
ARX_C_last,full,1.0,1.0000768880220403,0.9995992765147652,0.9995992765147652,0.0004776115072752072,0.0004776115072752072,0.9995224252125057,0.999522425212506,nan,1.0
ARX_C_last,full,2.0,2.0001537760440806,1.9991985530295304,1.9991985530295304,0.0009552230145504219,0.0009552230145504219,0.9995224252125057,0.999522425212506,nan,1.0
ARX_C_last,full,3.0,3.0002306640661223,2.998797829544295,2.998797829544295,0.001432834521825374,0.0014328345218253742,0.9995224252125051,0.9995224252125061,nan,1.0
ARX_C_last,full,4.0,4.000307552088161,3.998397106059061,3.998397106059061,0.0019104460291008557,0.0019104460291008557,0.9995224252125057,0.999522425212506,nan,1.0
ARX_C_last,full,5.0,5.0003844401102,4.997996382573827,4.997996382573827,0.00238805753637626,0.00238805753637626,0.9995224252125062,0.9995224252125056,nan,1.0
ARX_C_last,small,-1.0,-1.0000768880220403,-0.9995992765147652,0.9995992765147652,0.0004776115072752032,0.0004776115072752032,0.9995224252125057,0.9995224252125061,nan,1.0
ARX_C_last,small,-0.5,-0.5000384440110202,-0.4997996382573826,0.4997996382573826,0.00023880575363760407,0.00023880575363760404,0.9995224252125057,0.9995224252125061,nan,1.0
ARX_C_last,small,-0.25,-0.2500192220055101,-0.2498998191286913,0.2498998191286913,0.00011940287681880049,0.00011940287681880049,0.9995224252125057,0.9995224252125061,nan,1.0
ARX_C_last,small,-0.1,-0.1000076888022041,-0.09995992765147657,0.09995992765147657,4.776115072750478e-05,4.776115072750479e-05,0.9995224252125054,0.9995224252125058,nan,1.0
ARX_C_last,small,0.1,0.1000076888022041,0.09995992765147657,0.09995992765147657,4.776115072750537e-05,4.776115072750538e-05,0.9995224252125054,0.999522425212506,nan,1.0
ARX_C_last,small,0.25,0.2500192220055101,0.2498998191286913,0.2498998191286913,0.0001194028768188039,0.0001194028768188039,0.9995224252125057,0.9995224252125061,nan,1.0
ARX_C_last,small,0.5,0.5000384440110202,0.4997996382573826,0.4997996382573826,0.0002388057536376051,0.0002388057536376051,0.9995224252125057,0.9995224252125061,nan,1.0
ARX_C_last,small,1.0,1.0000768880220403,0.9995992765147652,0.9995992765147652,0.0004776115072752072,0.0004776115072752072,0.9995224252125057,0.999522425212506,nan,1.0
ARX_CY_last,full,-5.0,-5.0003844401102,-5.018349368169112,5.018349368169112,0.01796492805890962,0.01796492805890962,1.0035927093754646,1.0035927093754644,nan,1.0
ARX_CY_last,full,-4.0,-4.000307552088161,-4.014679494535288,4.014679494535288,0.014371942447127932,0.014371942447127932,1.0035927093754642,1.0035927093754646,nan,1.0
ARX_CY_last,full,-3.0,-3.0002306640661223,-3.0110096209014685,3.0110096209014685,0.01077895683534628,0.01077895683534628,1.0035927093754644,1.0035927093754644,nan,1.0
ARX_CY_last,full,-2.0,-2.0001537760440806,-2.0073397472676446,2.0073397472676446,0.007185971223564079,0.007185971223564079,1.0035927093754644,1.0035927093754646,nan,1.0
ARX_CY_last,full,-1.0,-1.0000768880220403,-1.0036698736338223,1.0036698736338223,0.003592985611782036,0.003592985611782036,1.0035927093754644,1.0035927093754646,nan,1.0
ARX_CY_last,full,-0.5,-0.5000384440110202,-0.5018349368169112,0.5018349368169112,0.0017964928058910137,0.0017964928058910137,1.0035927093754644,1.0035927093754646,nan,1.0
ARX_CY_last,full,0.5,0.5000384440110202,0.5018349368169112,0.5018349368169112,0.0017964928058909978,0.0017964928058909978,1.0035927093754644,1.0035927093754646,nan,1.0
ARX_CY_last,full,1.0,1.0000768880220403,1.0036698736338223,1.0036698736338223,0.00359298561178198,0.00359298561178198,1.0035927093754644,1.0035927093754646,nan,1.0
ARX_CY_last,full,2.0,2.0001537760440806,2.007339747267644,2.007339747267644,0.00718597122356395,0.007185971223563948,1.0035927093754642,1.0035927093754646,nan,1.0
ARX_CY_last,full,3.0,3.0002306640661223,3.0110096209014685,3.0110096209014685,0.010778956835346213,0.01077895683534621,1.0035927093754644,1.0035927093754644,nan,1.0
ARX_CY_last,full,4.0,4.000307552088161,4.014679494535289,4.014679494535289,0.014371942447128113,0.014371942447128111,1.0035927093754644,1.0035927093754646,nan,1.0
ARX_CY_last,full,5.0,5.0003844401102,5.018349368169112,5.018349368169112,0.017964928058910017,0.017964928058910017,1.0035927093754646,1.0035927093754644,nan,1.0
ARX_CY_last,small,-1.0,-1.0000768880220403,-1.0036698736338223,1.0036698736338223,0.003592985611782036,0.003592985611782036,1.0035927093754644,1.0035927093754646,nan,1.0
ARX_CY_last,small,-0.5,-0.5000384440110202,-0.5018349368169112,0.5018349368169112,0.0017964928058910137,0.0017964928058910137,1.0035927093754644,1.0035927093754646,nan,1.0
ARX_CY_last,small,-0.25,-0.2500192220055101,-0.2509174684084556,0.2509174684084556,0.0008982464029455062,0.000898246402945506,1.0035927093754644,1.0035927093754646,nan,1.0
ARX_CY_last,small,-0.1,-0.1000076888022041,-0.10036698736338227,0.10036698736338227,0.00035929856117821634,0.0003592985611782163,1.003592709375464,1.0035927093754646,nan,1.0
ARX_CY_last,small,0.1,0.1000076888022041,0.10036698736338229,0.10036698736338229,0.0003592985611782172,0.0003592985611782172,1.0035927093754642,1.0035927093754644,nan,1.0
ARX_CY_last,small,0.25,0.2500192220055101,0.2509174684084556,0.2509174684084556,0.0008982464029455015,0.0008982464029455014,1.0035927093754644,1.0035927093754646,nan,1.0
ARX_CY_last,small,0.5,0.5000384440110202,0.5018349368169112,0.5018349368169112,0.0017964928058909978,0.0017964928058909978,1.0035927093754644,1.0035927093754646,nan,1.0
ARX_CY_last,small,1.0,1.0000768880220403,1.0036698736338223,1.0036698736338223,0.00359298561178198,0.00359298561178198,1.0035927093754644,1.0035927093754646,nan,1.0
VARX_all_last,full,-5.0,-5.0003844401102,-5.019766207682054,5.019766207682054,0.019381767571852008,0.019381767571852008,1.0038760554921307,1.0038760554921304,nan,1.0
VARX_all_last,full,-4.0,-4.000307552088161,-4.015812966145645,4.015812966145645,0.015505414057481737,0.015505414057481737,1.0038760554921307,1.0038760554921304,nan,1.0
VARX_all_last,full,-3.0,-3.0002306640661223,-3.0118597246092325,3.0118597246092325,0.01162906054311153,0.011629060543111532,1.00387605549213,1.0038760554921309,nan,1.0
VARX_all_last,full,-2.0,-2.0001537760440806,-2.0079064830728224,2.0079064830728224,0.007752707028740874,0.007752707028740874,1.0038760554921307,1.0038760554921304,nan,1.0
VARX_all_last,full,-1.0,-1.0000768880220403,-1.0039532415364112,1.0039532415364112,0.003876353514370432,0.003876353514370432,1.0038760554921307,1.0038760554921307,nan,1.0
VARX_all_last,full,-0.5,-0.5000384440110202,-0.5019766207682056,0.5019766207682056,0.0019381767571852225,0.0019381767571852225,1.0038760554921307,1.0038760554921307,nan,1.0
VARX_all_last,full,0.5,0.5000384440110202,0.5019766207682056,0.5019766207682056,0.0019381767571852203,0.0019381767571852203,1.0038760554921307,1.0038760554921307,nan,1.0
VARX_all_last,full,1.0,1.0000768880220403,1.0039532415364112,1.0039532415364112,0.003876353514370433,0.0038763535143704333,1.0038760554921307,1.0038760554921304,nan,1.0
VARX_all_last,full,2.0,2.0001537760440806,2.0079064830728224,2.0079064830728224,0.007752707028740878,0.007752707028740878,1.0038760554921307,1.0038760554921307,nan,1.0
VARX_all_last,full,3.0,3.0002306640661223,3.0118597246092325,3.0118597246092325,0.011629060543111542,0.011629060543111542,1.00387605549213,1.0038760554921309,nan,1.0
VARX_all_last,full,4.0,4.000307552088161,4.015812966145645,4.015812966145645,0.015505414057481725,0.015505414057481725,1.0038760554921307,1.0038760554921304,nan,1.0
VARX_all_last,full,5.0,5.0003844401102,5.019766207682054,5.019766207682054,0.01938176757185195,0.01938176757185195,1.0038760554921307,1.0038760554921304,nan,1.0
VARX_all_last,small,-1.0,-1.0000768880220403,-1.0039532415364112,1.0039532415364112,0.003876353514370432,0.003876353514370432,1.0038760554921307,1.0038760554921307,nan,1.0
VARX_all_last,small,-0.5,-0.5000384440110202,-0.5019766207682056,0.5019766207682056,0.0019381767571852225,0.0019381767571852225,1.0038760554921307,1.0038760554921307,nan,1.0
VARX_all_last,small,-0.25,-0.2500192220055101,-0.2509883103841028,0.2509883103841028,0.0009690883785926101,0.0009690883785926103,1.0038760554921307,1.0038760554921307,nan,1.0
VARX_all_last,small,-0.1,-0.1000076888022041,-0.10039532415364111,0.10039532415364111,0.000387635351437054,0.00038763535143705394,1.00387605549213,1.0038760554921304,nan,1.0
VARX_all_last,small,0.1,0.1000076888022041,0.10039532415364114,0.10039532415364114,0.0003876353514370584,0.0003876353514370584,1.0038760554921302,1.0038760554921304,nan,1.0
VARX_all_last,small,0.25,0.2500192220055101,0.2509883103841028,0.2509883103841028,0.0009690883785926102,0.0009690883785926103,1.0038760554921307,1.0038760554921307,nan,1.0
VARX_all_last,small,0.5,0.5000384440110202,0.5019766207682056,0.5019766207682056,0.0019381767571852203,0.0019381767571852203,1.0038760554921307,1.0038760554921307,nan,1.0
VARX_all_last,small,1.0,1.0000768880220403,1.0039532415364112,1.0039532415364112,0.003876353514370433,0.0038763535143704333,1.0038760554921307,1.0038760554921304,nan,1.0
